,Year,Team,Pts,Pts,Team,HT,HT,,Series,Ground,Date,Match
89,1898,England,14,7,Wales,6,3,,Home Nations,Blackheath,2 Apr 1898,Details
90,1898,"
Records include the following current or recent matches:
",,,,,,,,,,
91,1898,"

England v Wales at Blackheath, Home Nations, Apr 2, 1898 [14-7 FT]
",,,,,,,,,,
92,1898,"

Ireland v Wales at Limerick, Home Nations, Mar 19, 1898 [3-11 FT]
",,,,,,,,,,
93,1898,"

Scotland v England at Edinburgh, Home Nations, Mar 12, 1898 [3-3 FT]
",,,,,,,,,,
94,1899,Wales,26,3,England,6,0,,Home Nations,Swansea,7 Jan 1899,Details
95,1899,Ireland,6,0,England,-,-,,Home Nations,Lansdowne Road,4 Feb 1899,Details
96,1899,Scotland,3,9,Ireland,0,6,,Home Nations,Inverleith,18 Feb 1899,Details
97,1899,Scotland,21,10,Wales,3,10,,Home Nations,Inverleith,4 Mar 1899,Details
98,1899,England,0,5,Scotland,-,-,,Home Nations / Calcutta Cup,Blackheath,11 Mar 1899,Details
99,1899,Wales,0,3,Ireland,0,3,,Home Nations,Cardiff,18 Mar 1899,Details
100,1899,Australia,13,3,Britain,3,0,,Great Britain tour,Sydney,24 Jun 1899,Details
101,1899,Australia,0,11,Britain,0,3,,Great Britain tour,Brisbane,22 Jul 1899,Details
102,1899,Australia,10,11,Britain,0,5,,Great Britain tour,Sydney,5 Aug 1899,Details
103,1899,Australia,0,13,Britain,-,-,,Great Britain tour,Sydney,12 Aug 1899,Details
104,1899,"
Records include the following current or recent matches:
",,,,,,,,,,
105,1899,"

Australia v Great Britain at Sydney, 4th Test, Aug 12, 1899 [0-13 FT]
",,,,,,,,,,
106,1899,"

Australia v Great Britain at Sydney, 3rd Test, Aug 5, 1899 [10-11 FT]
",,,,,,,,,,
107,1899,"

Australia v Great Britain at Brisbane, 2nd Test, Jul 22, 1899 [0-11 FT]
",,,,,,,,,,
108,1900,England,3,13,Wales,0,5,,Home Nations,Gloucester,6 Jan 1900,Details
109,1900,Wales,12,3,Scotland,6,3,,Home Nations,Swansea,27 Jan 1900,Details
110,1900,England,15,4,Ireland,7,4,,Home Nations,Richmond,3 Feb 1900,Details
111,1900,Ireland,0,0,Scotland,-,-,,Home Nations,Lansdowne Road,24 Feb 1900,Details
112,1900,Scotland,0,0,England,-,-,,Home Nations / Calcutta Cup,Inverleith,10 Mar 1900,Details
113,1900,Ireland,0,3,Wales,-,-,,Home Nations,Belfast,17 Mar 1900,Details
114,1900,"
Records include the following current or recent matches:
",,,,,,,,,,
115,1900,"

Ireland v Wales at Belfast, Home Nations, Mar 17, 1900 [0-3 FT]
",,,,,,,,,,
116,1900,"

Scotland v England at Inverleith, Home Nations, Mar 10, 1900 [0-0 FT]
",,,,,,,,,,
117,1900,"

Ireland v Scotland at Lansdowne Road, Home Nations, Feb 24, 1900 [0-0 FT]
",,,,,,,,,,
118,1901,Wales,13,0,England,5,0,,Home Nations,Cardiff,5 Jan 1901,Details
119,1901,Scotland,18,8,Wales,10,0,,Home Nations,Inverleith,9 Feb 1901,Details
120,1901,Ireland,10,6,England,5,3,,Home Nations,Lansdowne Road,9 Feb 1901,Details
121,1901,Scotland,9,5,Ireland,9,5,,Home Nations,Inverleith,23 Feb 1901,Details
122,1901,England,3,18,Scotland,0,15,,Home Nations / Calcutta Cup,Blackheath,9 Mar 1901,Details
123,1901,Wales,10,9,Ireland,5,9,,Home Nations,Swansea,16 Mar 1901,Details
124,1901,"
Records include the following current or recent matches:
",,,,,,,,,,
125,1901,"

Wales v Ireland at Swansea, Home Nations, Mar 16, 1901 [10-9 FT]
",,,,,,,,,,
126,1901,"

England v Scotland at Blackheath, Home Nations, Mar 9, 1901 [3-18 FT]
",,,,,,,,,,
127,1901,"

Scotland v Ireland at Inverleith, Home Nations, Feb 23, 1901 [9-5 FT]
",,,,,,,,,,
128,1902,England,8,9,Wales,8,3,,Home Nations,Blackheath,11 Jan 1902,Details
129,1902,Wales,14,5,Scotland,14,5,,Home Nations,Cardiff,1 Feb 1902,Details
130,1902,England,6,3,Ireland,3,0,,Home Nations,Leicester,8 Feb 1902,Details
131,1902,Ireland,5,0,Scotland,-,-,,Home Nations,Belfast,22 Feb 1902,Details
132,1902,Ireland,0,15,Wales,-,-,,Home Nations,Lansdowne Road,8 Mar 1902,Details
133,1902,Scotland,3,6,England,0,6,,Home Nations / Calcutta Cup,Inverleith,15 Mar 1902,Details
134,1902,"
Records include the following current or recent matches:
",,,,,,,,,,
135,1902,"

Scotland v England at Inverleith, Home Nations, Mar 15, 1902 [3-6 FT]
",,,,,,,,,,
136,1902,"

Ireland v Wales at Lansdowne Road, Home Nations, Mar 8, 1902 [0-15 FT]
",,,,,,,,,,
137,1902,"

Ireland v Scotland at Belfast, Home Nations, Feb 22, 1902 [5-0 FT]
",,,,,,,,,,
138,1903,Wales,21,5,England,21,0,,Home Nations,Swansea,10 Jan 1903,Details
139,1903,Scotland,6,0,Wales,3,0,,Home Nations,Inverleith,7 Feb 1903,Details
140,1903,Ireland,6,0,England,6,0,,Home Nations,Lansdowne Road,14 Feb 1903,Details
141,1903,Scotland,3,0,Ireland,-,-,,Home Nations,Inverleith,28 Feb 1903,Details
142,1903,Wales,18,0,Ireland,9,0,,Home Nations,Cardiff,14 Mar 1903,Details
143,1903,England,6,10,Scotland,3,7,,Home Nations / Calcutta Cup,Richmond,21 Mar 1903,Details
144,1903,Australia,3,22,New Zealand,3,7,,New Zealand tour,Sydney,15 Aug 1903,Details
145,1903,South Africa,10,10,Britain,10,5,,Great Britain tour,Johannesburg,26 Aug 1903,Details
146,1903,South Africa,0,0,Britain,-,-,,Great Britain tour,Kimberley,5 Sep 1903,Details
147,1903,South Africa,8,0,Britain,-,-,,Great Britain tour,Cape Town,12 Sep 1903,Details
148,1903,"
Records include the following current or recent matches:
",,,,,,,,,,
149,1903,"

South Africa v Great Britain at Cape Town, 3rd Test, Sep 12, 1903 [8-0 FT]
",,,,,,,,,,
150,1903,"

South Africa v Great Britain at Kimberley, 2nd Test, Sep 5, 1903 [0-0 FT]
",,,,,,,,,,
151,1903,"

South Africa v Great Britain at Johannesburg, 1st Test, Aug 26, 1903 [10-10 FT]
",,,,,,,,,,
152,1904,England,14,14,Wales,6,0,,Home Nations,Leicester,9 Jan 1904,Details
153,1904,Wales,21,3,Scotland,13,0,,Home Nations,Swansea,6 Feb 1904,Details
154,1904,England,19,0,Ireland,3,0,,Home Nations,Blackheath,13 Feb 1904,Details
155,1904,Ireland,3,19,Scotland,0,3,,Home Nations,Lansdowne Road,27 Feb 1904,Details
156,1904,Ireland,14,12,Wales,6,3,,Home Nations,Belfast,12 Mar 1904,Details
157,1904,Scotland,6,3,England,3,0,,Home Nations / Calcutta Cup,Inverleith,19 Mar 1904,Details
158,1904,Australia,0,17,Britain,-,-,,Great Britain tour,Sydney,2 Jul 1904,Details
159,1904,Australia,3,17,Britain,3,0,,Great Britain tour,Brisbane,23 Jul 1904,Details
160,1904,Australia,0,16,Britain,0,3,,Great Britain tour,Sydney,30 Jul 1904,Details
161,1904,New Zealand,9,3,Britain,3,3,,Great Britain tour,Wellington,13 Aug 1904,Details
162,1904,"
Records include the following current or recent matches:
",,,,,,,,,,
163,1904,"

New Zealand v Great Britain at Wellington, Aug 13, 1904 [9-3 FT]
",,,,,,,,,,
164,1904,"

Australia v Great Britain at Sydney, 3rd Test, Jul 30, 1904 [0-16 FT]
",,,,,,,,,,
165,1904,"

Australia v Great Britain at Brisbane, 2nd Test, Jul 23, 1904 [3-17 FT]
",,,,,,,,,,
166,1905,Wales,25,0,England,11,0,,Home Nations,Cardiff,14 Jan 1905,Details
167,1905,Scotland,3,6,Wales,3,3,,Home Nations,Inverleith,4 Feb 1905,Details
168,1905,Ireland,17,3,England,6,0,,Home Nations,Cork,11 Feb 1905,Details
169,1905,Scotland,5,11,Ireland,0,5,,Home Nations,Inverleith,25 Feb 1905,Details
170,1905,Wales,10,3,Ireland,10,3,,Home Nations,Swansea,11 Mar 1905,Details
171,1905,England,0,8,Scotland,-,-,,Home Nations / Calcutta Cup,Richmond,18 Mar 1905,Details
172,1905,New Zealand,14,3,Australia,3,3,,Australia tour,Dunedin,2 Sep 1905,Details
173,1905,Scotland,7,12,New Zealand,7,6,,New Zealand tour,Inverleith,18 Nov 1905,Details
174,1905,Ireland,0,15,New Zealand,0,5,,New Zealand tour,Lansdowne Road,25 Nov 1905,Details
175,1905,England,0,15,New Zealand,0,9,,New Zealand tour,Crystal Palace,2 Dec 1905,Details
176,1905,Wales,3,0,New Zealand,3,0,,New Zealand tour,Cardiff,16 Dec 1905,Details
177,1905,"
Records include the following current or recent matches:
",,,,,,,,,,
178,1905,"

Wales v New Zealand at Cardiff, Dec 16, 1905 [3-0 FT]
",,,,,,,,,,
179,1905,"

England v New Zealand at Crystal Palace, Dec 2, 1905 [0-15 FT]
",,,,,,,,,,
180,1905,"

Ireland v New Zealand at Lansdowne Road, Nov 25, 1905 [0-15 FT]
",,,,,,,,,,
181,1906,France,8,38,New Zealand,3,18,,New Zealand tour,Parc des Princes,1 Jan 1906,Details
182,1906,England,3,16,Wales,3,13,,Home Nations,Richmond,13 Jan 1906,Details
183,1906,Wales,9,3,Scotland,6,0,,Home Nations,Cardiff,3 Feb 1906,Details
184,1906,England,6,16,Ireland,0,8,,Home Nations,Leicester,10 Feb 1906,Details
185,1906,Ireland,6,13,Scotland,0,10,,Home Nations,Lansdowne Road,24 Feb 1906,Details
