,Year,Team,Pts,Pts,Team,HT,HT,,Series,Ground,Date,Match
5055,2002,Singapore,3,10,Hong Kong,0,3,,Hong Kong tour,Singapore,1 Nov 2002,Details
5056,2002,Wales,40,3,Romania,12,0,,Romania tour,Wrexham,1 Nov 2002,Details
5057,2002,Croatia,33,12,Belgium,-,-,,FIRA Championship D2,Zagreb,2 Nov 2002,Details
5058,2002,Slovenia,10,13,Denmark,-,-,,FIRA Championship D2,Ljubliana,2 Nov 2002,Details
5059,2002,Argentina,6,17,Australia,6,14,,Australia tour / Puma Trophy,Buenos Aires,2 Nov 2002,Details
5060,2002,Jamaica,27,32,Cayman Is,13,20,,Cayman Islands tour,Montego Bay,8 Nov 2002,Details
5061,2002,Switzerland,24,15,Croatia,15,6,,FIRA Championship D2,Geneva,9 Nov 2002,Details
5062,2002,England,31,28,New Zealand,17,14,,New Zealand tour,Twickenham,9 Nov 2002,Details
5063,2002,Ireland,18,9,Australia,12,3,,Australia tour / Lansdowne Cup,Lansdowne Road,9 Nov 2002,Details
5064,2002,Scotland,37,10,Romania,20,3,,Romania tour,Murrayfield,9 Nov 2002,Details
5065,2002,Wales,58,14,Fiji,27,0,,Fiji tour,Millennium Stadium,9 Nov 2002,Details
5066,2002,France,30,10,South Africa,12,3,,South Africa tour,Marseille,9 Nov 2002,Details
5067,2002,Arabian Gulf,36,13,Malaysia,-,-,,Asian Championship,Bangkok,16 Nov 2002,Details
5068,2002,Kazakhstan,29,16,Sri Lanka,-,-,,Asian Championship,Bangkok,16 Nov 2002,Details
5069,2002,Thailand,67,10,India,-,-,,Asian Championship,Bangkok,16 Nov 2002,Details
5070,2002,Uganda,56,7,Botswana,28,0,,African Championship D2,Kampala,16 Nov 2002,Details
5071,2002,Italy,6,36,Argentina,6,15,,Argentina tour,Rome,16 Nov 2002,Details
5072,2002,England,32,31,Australia,16,13,,Australia tour / Cook Cup,Twickenham,16 Nov 2002,Details
5073,2002,Scotland,21,6,South Africa,6,6,,South Africa tour,Murrayfield,16 Nov 2002,Details
5074,2002,Wales,32,21,Canada,22,12,,Canada tour,Millennium Stadium,16 Nov 2002,Details
5075,2002,France,20,20,New Zealand,10,10,,New Zealand tour / Gallaher Cup,Stade de France,16 Nov 2002,Details
5076,2002,C Taipai,10,35,Korea,-,-,,Asian Championship,Bangkok,17 Nov 2002,Details
5077,2002,Ireland,64,17,Fiji,39,3,,Fiji tour,Lansdowne Road,17 Nov 2002,Details
5078,2002,India,10,89,Kazakhstan,3,46,,Asian Championship,Bangkok,18 Nov 2002,Details
5079,2002,Malaysia,9,46,Singapore,-,-,,Asian Championship,Bangkok,18 Nov 2002,Details
5080,2002,Thailand,72,0,Sri Lanka,-,-,,Asian Championship,Bangkok,18 Nov 2002,Details
5081,2002,Arabian Gulf,26,7,Singapore,-,-,,Asian Championship,Bangkok,20 Nov 2002,Details
5082,2002,Hong Kong,17,40,Korea,-,-,,Asian Championship,Bangkok,20 Nov 2002,Details
5083,2002,India,15,54,Sri Lanka,-,-,,Asian Championship,Bangkok,20 Nov 2002,Details
5084,2002,Thailand,31,24,Kazakhstan,-,-,,Asian Championship,Bangkok,20 Nov 2002,Details
5085,2002,Kazakhstan,14,30,Singapore,-,-,,Asian Championship,Bangkok,22 Nov 2002,Details
5086,2002,Malaysia,18,54,Sri Lanka,-,-,,Asian Championship,Bangkok,22 Nov 2002,Details
5087,2002,C Taipai,16,18,Hong Kong,-,-,,Asian Championship,Bangkok,23 Nov 2002,Details
5088,2002,Thailand,20,12,Arabian Gulf,-,-,,Asian Championship,Bangkok,23 Nov 2002,Details
5089,2002,France,35,3,Canada,13,0,,Canada tour,Stade de France,23 Nov 2002,Details
5090,2002,Malta,22,18,Lithuania,0,6,,FIRA Championship D3,Marsa,23 Nov 2002,Details
5091,2002,Italy,3,34,Australia,3,17,,Australia tour,Genova,23 Nov 2002,Details
5092,2002,England,53,3,South Africa,18,3,,South Africa tour,Twickenham,23 Nov 2002,Details
5093,2002,Wales,17,43,New Zealand,10,9,,New Zealand tour,Millennium Stadium,23 Nov 2002,Details
5094,2002,Ireland,16,7,Argentina,10,7,,Argentina tour,Lansdowne Road,23 Nov 2002,Details
5095,2002,Russia,22,38,Spain,8,26,,2003 Rugby World Cup Qualifier,Krasnodar,24 Nov 2002,Details
5096,2002,Germany,26,26,Ukraine,-,-,,FIRA Championship D2,Heidelburg,24 Nov 2002,Details
5097,2002,Scotland,36,22,Fiji,18,12,,Fiji tour,Murrayfield,24 Nov 2002,Details
5098,2002,PNG,14,47,Tonga,7,17,,2003 Rugby World Cup Qualifier,Port Moresby,30 Nov 2002,Details
5099,2002,Austria,16,25,Malta,-,-,,FIRA Championship D3,Vienna,30 Nov 2002,Details
5100,2002,Tonga,84,12,PNG,50,0,,2003 Rugby World Cup Qualifier,Nuku A'lofa,7 Dec 2002,Details
5101,2002,Trinidad & T,5,22,Martinique,0,15,,Martinique tour,Port of Spain,14 Dec 2002,Details
5102,2002,"
Records include the following current or recent matches:
",,,,,,,,,,
5103,2002,"

Trinidad and Tobago v Martinique at Port of Spain, Dec 14, 2002 [5-22 FT]
",,,,,,,,,,
5104,2002,"

Tonga v Papua New Guinea at Nuku A'lofa, 2003 Rugby World Cup Qualifier, Dec 7, 2002 [84-12 FT]
",,,,,,,,,,
5105,2002,"

Austria v Malta at Vienna, FIRA Championship D3, Nov 30, 2002 [16-25 FT]
",,,,,,,,,,
5106,2002,"

Papua New Guinea v Tonga at Port Moresby, 2003 Rugby World Cup Qualifier, Nov 30, 2002 [14-47 FT]
",,,,,,,,,,
5107,2003,Italy,30,22,Wales,20,17,,Six Nations,Rome,15 Feb 2003,Details
5108,2003,England,25,17,France,12,7,,Six Nations,Twickenham,15 Feb 2003,Details
5109,2003,Spain,19,52,Russia,16,19,,Six Nations B,Mallorca,16 Feb 2003,Details
5110,2003,Portugal,34,30,Georgia,21,23,,Six Nations B,Lisbon,16 Feb 2003,Details
5111,2003,Scotland,6,36,Ireland,0,13,,Six Nations / Centenary Quaich,Murrayfield,16 Feb 2003,Details
5112,2003,Georgia,34,3,Spain,22,0,,Six Nations B,Tbilisi,22 Feb 2003,Details
5113,2003,Italy,13,37,Ireland,3,18,,Six Nations,Rome,22 Feb 2003,Details
5114,2003,Netherlands,25,32,Belgium,-,-,,Belgium tour,Middelburg,22 Feb 2003,Details
5115,2003,Portugal,16,15,Romania,3,5,,Six Nations B,Lisbon,22 Feb 2003,Details
5116,2003,Wales,9,26,England,6,9,,Six Nations,Millennium Stadium,22 Feb 2003,Details
5117,2003,France,38,3,Scotland,17,3,,Six Nations,Stade de France,23 Feb 2003,Details
5118,2003,Ireland,15,12,France,12,3,,Six Nations,Lansdowne Road,8 Mar 2003,Details
5119,2003,Switzerland,9,6,Belgium,-,-,,FIRA Championship D2,Basel,8 Mar 2003,Details
5120,2003,Portugal,43,10,Czechia,19,3,,Six Nations B,Lisbon,8 Mar 2003,Details
5121,2003,Scotland,30,22,Wales,20,10,,Six Nations,Murrayfield,8 Mar 2003,Details
5122,2003,Russia,17,23,Georgia,14,12,,Six Nations B,Krasnodar,9 Mar 2003,Details
5123,2003,Germany,15,3,Netherlands,12,3,,FIRA Championship D2,Hanover,9 Mar 2003,Details
5124,2003,Spain,6,31,Romania,-,-,,Six Nations B,Madrid,9 Mar 2003,Details
5125,2003,England,40,5,Italy,33,0,,Six Nations,Twickenham,9 Mar 2003,Details
5126,2003,Korea,0,75,Tonga,-,-,,2003 Rugby World Cup Qualifier,Seoul,15 Mar 2003,Details
5127,2003,Spain,33,16,Tunisia,3,13,,2003 Rugby World Cup Qualifier,Valence d'Agen,15 Mar 2003,Details
5128,2003,Tonga,119,0,Korea,63,0,,2003 Rugby World Cup Qualifier,Nuku A'lofa,22 Mar 2003,Details
5129,2003,Romania,23,12,Russia,3,6,,Six Nations B,Bucharest,22 Mar 2003,Details
5130,2003,Czechia,15,30,Georgia,9,10,,Six Nations B,Prague,22 Mar 2003,Details
5131,2003,Wales,24,25,Ireland,7,14,,Six Nations,Millennium Stadium,22 Mar 2003,Details
5132,2003,England,40,9,Scotland,16,9,,Six Nations / Calcutta Cup,Twickenham,22 Mar 2003,Details
5133,2003,Paraguay,27,16,Brazil,-,-,,South American Championship,Asuncion,22 Mar 2003,Details
5134,2003,Italy,27,53,France,10,41,,Six Nations,Rome,23 Mar 2003,Details
5135,2003,Portugal,35,16,Spain,6,9,,Six Nations B,Coimbra,23 Mar 2003,Details
5136,2003,France,33,5,Wales,10,5,,Six Nations,Stade de France,29 Mar 2003,Details
5137,2003,Russia,14,25,Portugal,11,9,,Six Nations B,Krasnodar,29 Mar 2003,Details
5138,2003,Malta,34,6,Luxembourg,15,0,,FIRA Championship D3,Marsa,29 Mar 2003,Details
5139,2003,Poland,15,37,Germany,-,-,,FIRA Championship D2,Gdynia,29 Mar 2003,Details
5140,2003,Scotland,33,25,Italy,23,15,,Six Nations,Murrayfield,29 Mar 2003,Details
5141,2003,Georgia,6,19,Romania,6,7,,Six Nations B / Antim Cup,Tbilisi,30 Mar 2003,Details
5142,2003,Ireland,6,42,England,6,13,,Six Nations / Millennium Trophy,Lansdowne Road,30 Mar 2003,Details
5143,2003,Spain,38,40,Czechia,14,23,,Six Nations B,Madrid,30 Mar 2003,Details
5144,2003,Belgium,24,33,Slovenia,14,17,,FIRA Championship D2,Liege,5 Apr 2003,Details
5145,2003,Bosnia & Her,14,20,Malta,3,8,,FIRA Championship D3,Sarajevo,5 Apr 2003,Details
5146,2003,Spain,13,62,USA,6,21,,2003 Rugby World Cup Qualifier,Madrid,12 Apr 2003,Details
5147,2003,Sri Lanka,25,48,Arabian Gulf,8,27,,Asian Rugby Championship,Colombo,18 Apr 2003,Details
5148,2003,Latvia,43,0,Moldova,-,-,,FIRA Championship D3,Riga,26 Apr 2003,Details
5149,2003,Belgium,6,6,Denmark,-,-,,FIRA Championship D2,Brussels,26 Apr 2003,Details
5150,2003,Hungary,47,23,Serbia & Mon,-,-,,FIRA Championship D3,Esztergom,26 Apr 2003,Details
5151,2003,Netherlands,18,24,Ukraine,-,-,,FIRA Championship D2,Amsterdam,27 Apr 2003,Details
5152,2003,Sweden,16,24,Germany,-,-,,FIRA Championship D2,Trelleborg,27 Apr 2003,Details
5153,2003,Argentina,144,0,Paraguay,-,-,,South American Championship,Montevideo,27 Apr 2003,Details
5154,2003,Uruguay,20,13,Chile,15,10,,South American Championship,Montevideo,27 Apr 2003,Details
5155,2003,USA,58,13,Spain,20,10,,2003 Rugby World Cup Qualifier,Fort Lauderdale,27 Apr 2003,Details
5156,2003,Argentina,49,3,Chile,15,3,,South American Championship,Montevideo,30 Apr 2003,Details
5157,2003,Uruguay,53,7,Paraguay,29,0,,South American Championship,Canelones,30 Apr 2003,Details
5158,2003,Denmark,8,8,Croatia,3,8,,FIRA Championship D2,Odense,3 May 2003,Details
5159,2003,Netherlands,39,26,Sweden,36,0,,FIRA Championship D2,Amsterdam,3 May 2003,Details
5160,2003,Serbia & Mon,18,29,Latvia,6,17,,FIRA Championship D3,Belgrade,3 May 2003,Details
5161,2003,Chile,102,0,Paraguay,-,-,,South American Championship,Montevideo,3 May 2003,Details
5162,2003,Uruguay,0,32,Argentina,0,27,,South American Championship,Montevideo,3 May 2003,Details
5163,2003,Moldova,47,11,Hungary,-,-,,FIRA Championship D3,Chisinau,10 May 2003,Details
5164,2003,Luxembourg,25,14,Austria,-,-,,FIRA Championship D3,Luxembourg City,10 May 2003,Details
5165,2003,Poland,13,13,Netherlands,3,0,,FIRA Championship D2,Gdynia,10 May 2003,Details
5166,2003,Slovenia,23,23,Switzerland,12,8,,FIRA Championship D2,Ljubliana,10 May 2003,Details
5167,2003,Zambia,17,8,Zimbabwe,10,3,,Zimbabwe tour,Lusaka,10 May 2003,Details
5168,2003,USA,69,27,Japan,17,17,,Super Powers Cup,San Francisco,17 May 2003,Details
5169,2003,Kenya,32,24,Zimbabwe,-,-,,Zimbabwe tour,Nairobi,24 May 2003,Details
5170,2003,Lithuania,60,6,Luxembourg,-,-,,FIRA Championship D3,Klaipeda,24 May 2003,Details
5171,2003,Moldova,17,17,Serbia & Mon,-,-,,FIRA Championship D3,Chisinau,24 May 2003,Details
5172,2003,Ukraine,37,0,Sweden,-,-,,FIRA Championship D2,Kiev,24 May 2003,Details
5173,2003,Japan,34,43,Russia,13,18,,Super Powers Cup,Tokyo,25 May 2003,Details
5174,2003,Ivory Coast,16,18,Morocco,-,-,,African Championship D1,Abidjan,1 Jun 2003,Details
5175,2003,Bulgaria,42,3,Finland,-,-,,FIRA Championship D3,Ibiza,5 Jun 2003,Details
5176,2003,Israel,30,13,Norway,8,7,,FIRA Championship D3,Ibiza,5 Jun 2003,Details
5177,2003,Australia,45,16,Ireland,14,13,,Ireland tour / Lansdowne Cup,Perth,7 Jun 2003,Details
5178,2003,Bosnia & Her,15,37,Lithuania,-,-,,FIRA Championship D3,Zenica,7 Jun 2003,Details
5179,2003,Bulgaria,25,23,Israel,-,-,,FIRA Championship D3,Ibiza,7 Jun 2003,Details
5180,2003,Finland,20,55,Norway,7,28,,FIRA Championship D3,Ibiza,7 Jun 2003,Details
5181,2003,South Africa,29,25,Scotland,6,12,,Scotland tour,Durban,7 Jun 2003,Details
5182,2003,Tonga,19,40,Ireland,14,20,,Ireland tour,Nuku A'lofa,14 Jun 2003,Details
5183,2003,New Zealand,13,15,England,6,6,,England tour,Wellington,14 Jun 2003,Details
5184,2003,Australia,30,10,Wales,18,3,,Wales tour,Sydney,14 Jun 2003,Details
5185,2003,Uganda,21,22,Kenya,-,-,,Kenya tour,Kampala,14 Jun 2003,Details
5186,2003,Austria,25,6,Bosnia & Her,12,3,,FIRA Championship D3,Vienna,14 Jun 2003,Details
5187,2003,Czechia,27,13,Russia,3,6,,Six Nations B,Prague,14 Jun 2003,Details
5188,2003,South Africa,28,19,Scotland,12,16,,Scotland tour,Johannesburg,14 Jun 2003,Details
5189,2003,Argentina,10,6,France,10,0,,France tour,Buenos Aires,14 Jun 2003,Details
5190,2003,Bahamas,7,13,Cayman Is,0,3,,Cayman Islands tour,Nassau,14 Jun 2003,Details
5191,2003,Japan,86,3,Korea,34,3,,Korea tour,Osaka,15 Jun 2003,Details
5192,2003,Canada,11,16,USA,8,3,,Churchill Cup,Vancouver,18 Jun 2003,Details
5193,2003,Argentina,33,32,France,21,12,,France tour,Buenos Aires,20 Jun 2003,Details
5194,2003,Samoa,14,40,Ireland,7,9,,Ireland tour,Apia,20 Jun 2003,Details
5195,2003,Malaysia,0,54,C Taipai,-,-,,Asian Rugby Championship,Kuala Lumpur,21 Jun 2003,Details
5196,2003,New Zealand,55,3,Wales,17,3,,Wales tour,Hamilton,21 Jun 2003,Details
5197,2003,Singapore,71,0,India,-,-,,Asian Rugby Championship,Singapore,21 Jun 2003,Details
5198,2003,Australia,14,25,England,3,12,,England tour / Cook Cup,Melbourne,21 Jun 2003,Details
5199,2003,Czechia,5,42,Romania,5,18,,Six Nations B,Prague,22 Jun 2003,Details
5200,2003,India,13,20,Malaysia,10,3,,Asian Rugby Championship,Singapore,24 Jun 2003,Details
5201,2003,New Zealand,31,23,France,19,13,,France tour / Gallaher Cup,Christchurch,28 Jun 2003,Details
5202,2003,India,10,61,C Taipai,10,32,,Asian Rugby Championship,Calcutta,28 Jun 2003,Details
5203,2003,Singapore,31,13,Malaysia,12,7,,Asian Rugby Championship,Singapore,28 Jun 2003,Details
5204,2003,South Africa,26,25,Argentina,13,15,,Argentina tour,Port Elizabeth,28 Jun 2003,Details
5205,2003,Fiji,34,31,Tonga,19,15,,Tonga tour,Nadi,4 Jul 2003,Details
5206,2003,C Taipai,19,6,Singapore,-,-,,Asian Rugby Championship,Taipei,5 Jul 2003,Details
5207,2003,Uganda,25,3,Zimbabwe,13,3,,African Championship D1,Kampala,5 Jul 2003,Details
5208,2003,Tonga,23,22,Fiji,3,9,,Fiji tour,Nuku A'lofa,11 Jul 2003,Details
5209,2003,South Africa,26,22,Australia,20,10,,Tri Nations,Cape Town,12 Jul 2003,Details
5210,2003,Namibia,13,40,Samoa,3,18,,Samoa tour,Windhoek,12 Jul 2003,Details
5211,2003,South Africa,16,52,New Zealand,9,22,,Tri Nations,Pretoria,19 Jul 2003,Details
5212,2003,Australia,21,50,New Zealand,11,23,,Tri Nations / Bledisloe Cup,Sydney,26 Jul 2003,Details
5213,2003,Australia,29,9,South Africa,6,6,,Tri Nations,Brisbane,2 Aug 2003,Details
5214,2003,Botswana,9,80,Kenya,-,-,,African Championship D1,Gaberone,2 Aug 2003,Details
5215,2003,Madagascar,32,30,Uganda,-,-,,African Championship D1,Antananarive,3 Aug 2003,Details
5216,2003,New Zealand,19,11,South Africa,13,11,,Tri Nations,Dunedin,9 Aug 2003,Details
5217,2003,New Zealand,21,17,Australia,15,9,,Tri Nations / Bledisloe Cup,Auckland,16 Aug 2003,Details
5218,2003,Kenya,10,32,Namibia,0,5,,African Championship D1,Nairobi,16 Aug 2003,Details
5219,2003,Ireland,35,12,Wales,14,5,,Wales tour,Lansdowne Road,16 Aug 2003,Details
5220,2003,Argentina,49,30,Fiji,27,23,,Fiji tour,Cordoba,18 Aug 2003,Details
5221,2003,France,56,8,Romania,35,5,,Romania tour,Lens,22 Aug 2003,Details
5222,2003,Scotland,47,15,Italy,28,8,,Italy tour,Murrayfield,23 Aug 2003,Details
5223,2003,Wales,9,43,England,9,16,,England tour,Millennium Stadium,23 Aug 2003,Details
5224,2003,Argentina,42,8,USA,18,3,,Pan-American Championship,Buenos Aires,23 Aug 2003,Details
5225,2003,Canada,21,11,Uruguay,11,0,,Pan-American Championship,Buenos Aires,23 Aug 2003,Details
5226,2003,Chile,16,41,Fiji,6,22,,Fiji tour,Santiago,24 Aug 2003,Details
5227,2003,Wales,54,8,Romania,30,8,,Romania tour,Wrexham,27 Aug 2003,Details
5228,2003,Canada,20,35,USA,6,20,,Pan-American Championship,Buenos Aires,27 Aug 2003,Details
5229,2003,Argentina,57,0,Uruguay,33,0,,Pan-American Championship,Buenos Aires,27 Aug 2003,Details
5230,2003,Niue Island,38,14,N Caledonia,13,8,,Oceania Cup,Papakura,29 Aug 2003,Details
5231,2003,Cook Islands,56,18,Tahiti,18,10,,Oceania Cup,Raratonga,29 Aug 2003,Details
5232,2003,France,17,16,England,14,13,,England tour,Marseille,30 Aug 2003,Details
5233,2003,Ireland,61,6,Italy,23,6,,Italy tour,Limerick,30 Aug 2003,Details
5234,2003,Wales,23,9,Scotland,12,6,,Scotland tour,Millennium Stadium,30 Aug 2003,Details
5235,2003,Argentina,62,22,Canada,27,10,,Pan-American Championship,Buenos Aires,30 Aug 2003,Details
5236,2003,USA,31,17,Uruguay,25,10,,Pan-American Championship,Buenos Aires,30 Aug 2003,Details
5237,2003,Namibia,82,13,Uganda,25,3,,African Championship D1,Windhoek,31 Aug 2003,Details
5238,2003,Cook Islands,55,5,N Caledonia,-,-,,Oceania Cup,Auckland,3 Sep 2003,Details
5239,2003,Niue Island,78,8,Tahiti,-,-,,Oceania Cup,Auckland,3 Sep 2003,Details
5240,2003,Cook Islands,14,17,Niue Island,-,-,,Oceania Cup,Auckland,5 Sep 2003,Details
5241,2003,N Caledonia,17,18,Tahiti,-,-,,Oceania Cup,Auckland,6 Sep 2003,Details
5242,2003,Scotland,10,29,Ireland,3,10,,Ireland tour,Murrayfield,6 Sep 2003,Details
5243,2003,Italy,31,22,Georgia,13,13,,Georgia tour,Asti,6 Sep 2003,Details
5244,2003,England,45,14,France,33,3,,France tour,Twickenham,6 Sep 2003,Details
5245,2003,Burundi,0,100,Uganda,-,-,,African Championship D2,Lusaka,9 Sep 2003,Details
5246,2003,Zambia,107,9,Rwanda,-,-,,African Championship D2,Lusaka,9 Sep 2003,Details
5247,2003,Burundi,7,18,Rwanda,-,-,,African Championship D2,Lusaka,13 Sep 2003,Details
5248,2003,Zambia,44,17,Uganda,-,-,,African Championship D2,Lusaka,13 Sep 2003,Details
5249,2003,Hong Kong,21,19,C Taipai,-,-,,Chinese Taipei tour,Hong Kong,14 Sep 2003,Details
5250,2003,Brazil,16,31,Venezuela,-,-,,South American Championship,Bogota,21 Sep 2003,Details
5251,2003,Colombia,22,17,Peru,-,-,,South American Championship,Bogota,21 Sep 2003,Details
5252,2003,Colombia,10,35,Brazil,-,-,,South American Championship,Bogota,24 Sep 2003,Details
5253,2003,Peru,25,24,Venezuela,-,-,,South American Championship,Bogota,24 Sep 2003,Details
5254,2003,Brazil,42,0,Peru,-,-,,South American Championship,Bogota,27 Sep 2003,Details
5255,2003,Colombia,22,47,Venezuela,-,-,,South American Championship,Bogota,27 Sep 2003,Details
5256,2003,Madagascar,36,62,Morocco,19,24,,African Championship D1,Antananarive,28 Sep 2003,Details
5257,2003,Cameroon,80,3,Togo,-,-,,African Championship D2,Bamako,5 Oct 2003,Details
5258,2003,Ghana,29,8,Mauritania,-,-,,African Championship D2,Bamako,5 Oct 2003,Details
5259,2003,Mali,56,0,Benin,-,-,,African Championship D2,Bamako,5 Oct 2003,Details
5260,2003,Nigeria,8,6,Senegal,-,-,,African Championship D2,Bamako,5 Oct 2003,Details
5261,2003,Benin,6,25,Senegal,-,-,,African Championship D2,Bamako,8 Oct 2003,Details
5262,2003,Cameroon,40,3,Ghana,-,-,,African Championship D2,Bamako,8 Oct 2003,Details
5263,2003,Mali,25,18,Nigeria,-,-,,African Championship D2,Bamako,8 Oct 2003,Details
5264,2003,Mauritania,7,16,Togo,-,-,,African Championship D2,Bamako,8 Oct 2003,Details
5265,2003,Australia,24,8,Argentina,14,3,,Rugby World Cup,Sydney,10 Oct 2003,Details
5266,2003,Benin,0,51,Nigeria,-,-,,African Championship D2,Bamako,10 Oct 2003,Details
5267,2003,Cameroon,81,0,Mauritania,-,-,,African Championship D2,Bamako,10 Oct 2003,Details
5268,2003,Ghana,14,9,Togo,-,-,,African Championship D2,Bamako,10 Oct 2003,Details
5269,2003,Mali,17,6,Senegal,-,-,,African Championship D2,Bamako,10 Oct 2003,Details
5270,2003,Italy,7,70,New Zealand,0,25,,Rugby World Cup,Melbourne,11 Oct 2003,Details
5271,2003,Ireland,45,17,Romania,26,0,,Rugby World Cup,Gosford,11 Oct 2003,Details
5272,2003,Sri Lanka,22,36,Hong Kong,10,17,,Asian Rugby Championship,Kandy,11 Oct 2003,Details
5273,2003,Fiji,18,61,France,8,24,,Rugby World Cup,Brisbane,11 Oct 2003,Details
5274,2003,South Africa,72,6,Uruguay,36,6,,Rugby World Cup,Perth,11 Oct 2003,Details
5275,2003,Hungary,17,35,Moldova,5,13,,FIRA Championship D3,Esztergom,11 Oct 2003,Details
5276,2003,Poland,36,0,Sweden,17,0,,FIRA Championship D2,Gdynia,11 Oct 2003,Details
5277,2003,Slovenia,22,20,Croatia,8,14,,FIRA Championship D2,Ljubliana,11 Oct 2003,Details
5278,2003,Switzerland,12,12,Denmark,9,6,,FIRA Championship D2,Avusy,11 Oct 2003,Details
5279,2003,Canada,10,41,Wales,3,20,,Rugby World Cup,Melbourne,12 Oct 2003,Details
5280,2003,Kazakhstan,56,17,Thailand,-,-,,Asian Rugby Championship,Almaty,12 Oct 2003,Details
5281,2003,Japan,11,32,Scotland,6,15,,Rugby World Cup,Townsville,12 Oct 2003,Details
5282,2003,England,84,6,Georgia,34,3,,Rugby World Cup,Perth,12 Oct 2003,Details
5283,2003,Ukraine,6,3,Germany,-,-,,FIRA Championship D2,Kiev,12 Oct 2003,Details
5284,2003,Benin,6,0,Mauritania,-,-,,African Championship D2,Bamako,12 Oct 2003,Details
5285,2003,Ghana,3,29,Nigeria,-,-,,African Championship D2,Bamako,12 Oct 2003,Details
5286,2003,Mali,0,49,Cameroon,-,-,,African Championship D2,Bamako,12 Oct 2003,Details
5287,2003,Senegal,8,6,Togo,-,-,,African Championship D2,Bamako,12 Oct 2003,Details
5288,2003,Argentina,67,14,Namibia,27,7,,Rugby World Cup,Gosford,14 Oct 2003,Details
5289,2003,Fiji,19,18,USA,3,6,,Rugby World Cup,Brisbane,15 Oct 2003,Details
5290,2003,Italy,36,12,Tonga,9,7,,Rugby World Cup,Canberra,15 Oct 2003,Details
5291,2003,Samoa,60,13,Uruguay,29,5,,Rugby World Cup,Perth,15 Oct 2003,Details
5292,2003,China,37,30,Kazakhstan,-,-,,Asian Rugby Championship,Beijing,16 Oct 2003,Details
5293,2003,Canada,6,68,New Zealand,3,28,,Rugby World Cup,Melbourne,17 Oct 2003,Details
5294,2003,Australia,90,8,Romania,38,8,,Rugby World Cup,Brisbane,18 Oct 2003,Details
5295,2003,France,51,29,Japan,20,16,,Rugby World Cup,Townsville,18 Oct 2003,Details
5296,2003,England,25,6,South Africa,6,6,,Rugby World Cup,Perth,18 Oct 2003,Details
5297,2003,Tonga,20,27,Wales,10,14,,Rugby World Cup,Canberra,19 Oct 2003,Details
5298,2003,Ireland,64,7,Namibia,33,7,,Rugby World Cup,Sydney,19 Oct 2003,Details
5299,2003,Georgia,9,46,Samoa,9,24,,Rugby World Cup,Perth,19 Oct 2003,Details
5300,2003,Korea,45,19,Kazakhstan,-,-,,Asian Rugby Championship,Seoul,20 Oct 2003,Details
5301,2003,Scotland,39,15,USA,24,9,,Rugby World Cup,Brisbane,20 Oct 2003,Details
5302,2003,Canada,14,19,Italy,6,9,,Rugby World Cup,Canberra,21 Oct 2003,Details
5303,2003,Argentina,50,3,Romania,24,0,,Rugby World Cup,Sydney,22 Oct 2003,Details
5304,2003,Fiji,41,13,Japan,16,13,,Rugby World Cup,Townsville,23 Oct 2003,Details
5305,2003,New Zealand,91,7,Tonga,35,0,,Rugby World Cup,Brisbane,24 Oct 2003,Details
5306,2003,Georgia,19,46,South Africa,6,24,,Rugby World Cup,Sydney,24 Oct 2003,Details
5307,2003,Australia,142,0,Namibia,69,0,,Rugby World Cup,Adelaide,25 Oct 2003,Details
5308,2003,Italy,15,27,Wales,9,20,,Rugby World Cup,Canberra,25 Oct 2003,Details
5309,2003,France,51,9,Scotland,19,6,,Rugby World Cup,Sydney,25 Oct 2003,Details
5310,2003,Bosnia & Her,8,31,Luxembourg,-,-,,FIRA Championship D3,Sarajevo,25 Oct 2003,Details
5311,2003,Croatia,5,11,Switzerland,0,11,,FIRA Championship D2,Split,25 Oct 2003,Details
5312,2003,Denmark,21,3,Slovenia,15,0,,FIRA Championship D2,Odense,25 Oct 2003,Details
5313,2003,Hungary,7,14,Latvia,0,6,,FIRA Championship D3,Szekesfehervar,25 Oct 2003,Details
5314,2003,Poland,13,24,Ukraine,10,7,,FIRA Championship D2,Lodz,25 Oct 2003,Details
5315,2003,Argentina,15,16,Ireland,9,10,,Rugby World Cup,Adelaide,26 Oct 2003,Details
5316,2003,England,35,22,Samoa,13,16,,Rugby World Cup,Melbourne,26 Oct 2003,Details
5317,2003,Japan,26,39,USA,10,20,,Rugby World Cup,Gosford,27 Oct 2003,Details
5318,2003,Georgia,12,24,Uruguay,3,10,,Rugby World Cup,Sydney,28 Oct 2003,Details
5319,2003,Canada,24,7,Tonga,9,7,,Rugby World Cup,Wollongong,29 Oct 2003,Details
5320,2003,Namibia,7,37,Romania,0,32,,Rugby World Cup,Launceston,30 Oct 2003,Details
5321,2003,France,41,14,USA,26,0,,Rugby World Cup,Wollongong,31 Oct 2003,Details
5322,2003,Fiji,20,22,Scotland,14,6,,Rugby World Cup,Sydney,1 Nov 2003,Details
5323,2003,Samoa,10,60,South Africa,3,31,,Rugby World Cup,Brisbane,1 Nov 2003,Details
5324,2003,Australia,17,16,Ireland,11,6,,Rugby World Cup,Melbourne,1 Nov 2003,Details
5325,2003,England,111,13,Uruguay,42,6,,Rugby World Cup,Brisbane,2 Nov 2003,Details
