"","POS_SALE_BRANCH","sumB","sumSLOPE","sumSIDING","sumWINDOW","sumOTHER","meanD","meanPD","risk","meanCL","percent_PD","percent_D","clusterNum","clusterNum"
"74",129,23411244.69,2922879.5,897255.83,968559.04,37199484.81,175.457024729521,489.371385024901,0,14806.5755177743,0.00209032621505141,0.000749456199586289,3,4
"75",130,91638167.03,2382619.59,27310698.36,1354496.17,122808429.48,1713.17352681273,2344.9112262438,0,25623.2732193439,0.00255888054316509,0.00186949781115972,6,2
"76",131,26111281.76,4909165.29,907843.8,1430133.38,37809957.75,140.139717896637,812.049189799142,0,26762.9375784247,0.00310995529542761,0.000536701794973995,3,4
"77",134,28755166.34,2372171.99,5284790.64,1530309.29,39500225.88,526.053377875507,1127.38340324763,0,9066.67825439784,0.00392062904424719,0.00182942213463651,3,4
"78",135,146575738.11,58856239.28,1177597.91,7185821.53,151906119.06,748.358918007025,3497.47996903309,0,29789.7349339065,0.00238612475306681,0.000510561248168785,2,3
"79",138,31503667.19,3398873.37,6117278.58,5392892.46,33149307.35,448.817837233489,696.097936557462,0,14455.5664612584,0.00220957748302528,0.00142465267464467,3,4
"80",139,37648177.98,2629135.03,9696173.66,5220450.06,40413981.61,940.914130197197,1393.67616203374,0,18000.7085863626,0.00370184225853933,0.002499228862276,3,4
"81",140,36235548.17,16346284.93,3842496.05,1828919.36,27971780.61,501.367740846799,851.270020454081,0,27965.1425066476,0.0023492676762066,0.00138363503842862,3,4
"82",141,54893900.6,1703920.41,21199989.92,5010415.02,53467087.99,262.973066066133,529.033188253919,0,10109.0863129613,0.000963737651126068,0.000479056986644766,6,2
"83",142,24073811.56,1539830.79,9614876.64,1996338.65,21964622.8,345.462293842426,603.0832813936,0,8240.23312265018,0.00250514248601853,0.00143501286857471,3,4
"84",143,26285466.73,102371.81,17181956.43,4755620.7,7866148.47,1153.65497529209,1520.85843746409,0,6632.14449339207,0.00578592898153986,0.00438894613187677,3,4
"85",144,34870265.14,3382525.33,7692048.72,2111451.56,43372780.94,196.914974731912,349.27477053289,0,6700.72087637126,0.00100164070772216,0.000564707420323079,3,4
"86",145,69380840.76,5474460.48,19926626.58,7384622.18,72335677.58,339.587939903472,707.757544138253,0,7611.51800965281,0.00102010517080141,0.000489454921825124,6,2
"87",146,46434139.43,1026779.76,19720270.64,5495180.57,40468141.24,645.618414669784,1111.83359585038,0,8486.38476884863,0.00239443135912206,0.00139039599440205,6,2
"88",147,36216744.42,5135625.18,5649268.86,926286.79,49337182.96,1344.15607311321,2279.21773222061,0,11319.3075498911,0.0062932706092764,0.00371142159418096,3,4
"89",148,71836160.31,4331933.58,21986839.4,4359070.3,82275170.95,377.027304820095,735.851230057705,0,12671.5350275798,0.00102434655037551,0.000524843342396198,6,2
"90",149,19212906.4,2561854.35,4812088.75,1286511.19,20853810.93,964.534259099534,1205.78023460411,0,6053.27062532344,0.00627588668523418,0.0050202412847831,3,4
"91",150,26233330.37,6479884.59,3982934.56,3219893.91,24890097.59,218.014203144497,399.218639381083,0,11441.526934864,0.00152179930550344,0.000831058047413662,3,4
"92",151,27197593.79,2539560.88,7882403.06,1827119.81,29863802.81,577.521719614072,851.460573596894,0,6763.46729909401,0.00313064670415792,0.00212342946244905,3,4
"93",153,37065521.24,1992878.61,2631490.86,338412.42,64281793.75,1014.57337289812,1737.35012240356,0,21428.8280761622,0.00468724049812812,0.00273724296585157,3,4
"94",154,80331742.07,12360562.64,4802576.45,1465072.15,123681815.07,511.622160123297,964.517467553537,0,13583.0524995944,0.0012006679336209,0.00063688667385985,6,4
"95",155,23499852.11,4897732.36,2506417.96,1278302.62,29638354.57,291.961189449403,670.177056463745,0,14075.7595095778,0.00285183520869291,0.00124239585884527,3,4
"96",156,128563980.05,7854760.17,18089352.02,5676746.39,195397657.39,986.168314643322,1767.86917088699,0,26656.7757021415,0.00137508901809002,0.000767064238568058,6,2
"97",157,69966621.23,3047235.61,14248399.85,2927791.87,101340087.33,534.87777629753,1288.11790618929,0,27304.0756341937,0.00184104632115202,0.000764475641233605,6,2
"98",158,34465014.26,2141748.27,6026406.97,2970846.14,46104348.08,87.8173606723491,245.002788937235,0,12806.2744370269,0.000710873893998602,0.000254801463332832,3,4
"99",181,45464327.72,2170393.82,5797175.29,3837844.95,67516028.56,696.655063679465,1273.77316538068,0,13445.2794756902,0.00280169801085686,0.00153231137160971,3,4
"100",184,65867911.52,544123.28,37307208.87,3447556.51,50539355.32,733.506173761272,1691.43861049161,0,29264.1822195287,0.00256792506618041,0.0011136016868222,4,2
"101",185,41503451.72,3166128.78,6666845.38,1032050.74,61734161.38,743.949351072781,1199.31479806479,0,21818.1930521666,0.00288967483031502,0.001792499949382,3,4
"102",186,42695407.96,3182188.41,6402097.99,3234648.89,59286370.62,508.468408293038,980.924278995827,0,13153.6615837584,0.00229749363190258,0.00119092059916468,3,4
"103",187,28862841.99,1548497.85,6377084.88,1126784.83,39747905.21,709.771027990836,1295.54697081383,0,17888.8612411595,0.0044886327246038,0.00245911690968182,3,4
